"id","Flokkun","N","skipting","ath","alls"
"A7C","Ophelina acuminata",29,"1",NA,29
"A7C","Scalibregma inflatum",3,"1",NA,3
"A7C","Polydora sp",12,"1",NA,12
"A7C","Nemertea",2,"1",NA,2
"A7C","Chaetozone setosa",1,"1",NA,1
"A7C","Eteone longa",1,"1",NA,1
"A7C","Maldanidae",8,"1",NA,8
"A7C","Spionidae sp",2,"1",NA,2
"A7C",NA,3,"4","óviss",12
"A7C","Syllis",1,"4","óviss",4
"A7C","Skeljar",22,"4",NA,88
"A7C","Götungar",2,"4",NA,8
"A7C","Bandormur",6,"4","óviss",24
"A7C","Harpacticoida",2,"4",NA,8
"A7C","Scalibregma inflatum",4,"4",NA,16
"A7C","Ampharetidae sp",1,"4",NA,4
"A7C","Scoloplos armiger",4,"4",NA,16
"A7C","Maldanidae",1,"4",NA,4
"A7C","Ophelina acuminata",12,"4",NA,48
"A7C","Heteromastus filiformis",13,"4",NA,52
"A7C","Maldanidae sp",2,"4",NA,8
"A7C","Polydora sp",9,"4",NA,36
"A7C","Capitelladae sp",3,"4",NA,12
"A7C","Nemertea",7,"4",NA,28
"A7C","Corophium bonelli",1,"4",NA,4
"A7C","Cossura longocirrata",1,"4",NA,4
"A7C","Aricidea suecica",3,"4",NA,12
"B5A","Scalibregma inflatum",1,"1",NA,1
"B5A","Foraminifera",4,"1",NA,4
"B5A","Ophelina acuminata",1,"1",NA,1
"B5A","Maldanidae",1,"1",NA,1
"B5A","Spionidae",1,"1",NA,1
"B5A","Polydora",1,"1",NA,1
"B5A","Macoma calcarea",2,"1",NA,2
"B5A","Nematoda",4,"1",NA,4
"B5A","Foraminifera",3,"1",NA,3
"B5A","Ophelina acuminata",33,"4",NA,132
"B5A","Bivalvia",6,"4",NA,24
"B5A","Scalibregma inflatum",4,"4",NA,16
"B5A","Maldanidae",4,"4",NA,16
"B5A","Chaetozone setosa",7,"4",NA,28
"B5A","Heteromastus filiformis",6,"4",NA,24
"B5A","Nematoda",14,"4",NA,56
"B5A","Foraminifera",8,"4",NA,32
"B5A","Aricidea suecica",3,"4",NA,12
"B5A","Cossura longocirrata",2,"4",NA,8
"B5A","Spio",6,"4",NA,24
"B5B","Ophelina acuminata",39,"4",NA,156
"B5B","Harpacticoida",26,"4",NA,104
"B5B","Ostracoda",1,"4",NA,4
"B5B","Nematoda",14,"4",NA,56
"B5B","scalibregma inflatum",6,"4",NA,24
"B5B","Maldanidae sp",2,"4",NA,8
"B5B","Sabellidae sp",1,"4","Sjá myndir í síma um 10 nóv. 2021",4
"B5B","Heteromastus filiformis",5,"4",NA,20
"B5B","Cossura longocirrata",3,"4",NA,12
"B5B","Chaetozone setosa",3,"4",NA,12
"B5B","Cirratulidae",1,"4",NA,4
"B5B","Microphthalmus aberrans",1,"4",NA,4
"B5B","Polydora",1,"4",NA,4
"B5B","Spionidae",3,"4",NA,12
"B5B","Oligochaeta",1,"4",NA,4
"B5B","Óþekkt",13,"4","Angar, lirfur, afturendar, óviss",52
"B5B","Capellidae",1,"4","óviss",4
"B5B","Polychaeta",2,"4","Sjá myndir í folder á desktoppinu á labbanum",8
"B5B","Macoma calcaria",8,"4",NA,32
"B5B","Ennucula tenuis",1,"4",NA,4
"B5C","Harpacticoida",1,"1",NA,1
"B5C","Foraminifera",13,"1","Margt < 0,5 mm",13
"B5C","Ostracoda",5,"1",NA,5
"B5C","Maldanidae",1,"4","bútur",4
"B5C","Ostracoda",6,"4",NA,24
"B5C","Oligochaeta",1,"4",NA,4
"B5C","Nemertea",1,"4",NA,4
"B5C","Microphthalmus aberrans",1,"4",NA,4
"B5C","Levinsenia gracilis",1,"4","óviss",4
"B5C","Polychaeta",1,"4",NA,4
"B5C","Arctica islandica",1,"4",NA,4
"B5C","Ennucula tenuis",7,"4",NA,28
"B5C","Nuculana pernula",2,"4",NA,8
"B5C","Cardium",1,"4",NA,4
"B5C","Macoma calcaria",8,"4","Skelin uppleyst",32
"B8A","Ophelina acuminata",23,"1",NA,23
"B8A","Pectinaria koreni",1,"1",NA,1
"B8A","Spio filicornis",1,"1",NA,1
"B8A","Foraminifera",11,"1","óviss",11
"B8A","ostracoda",4,"1","einn kraminn",4
"B8A","Polydora",13,"1",NA,13
"B8A","Praxillella praetermissa",3,"1",NA,3
"B8A","Maldanidae",2,"1",NA,2
"B8A","Leaena ebranchiata",1,"1","óviss með tegund en ekki family",1
"B8A","ostracoda",3,"4","Foraminifera,harpacticoida, ostracoda og lirfur saman í túbu.",12
"B8A","harpacticoida",3,"4","Foraminifera,harpacticoida, ostracoda og lirfur saman í túbu.",12
"B8A","Foraminifera",2,"4","Foraminifera,harpacticoida, ostracoda og lirfur saman í túbu.",8
"B8A","rækjulirfa",1,"4","Foraminifera,harpacticoida, ostracoda og lirfur saman í túbu.",4
"B8A","lirfur",9,"4","Foraminifera,harpacticoida, ostracoda og lirfur saman í túbu.",36
"B8A","priapulidae",1,"4",NA,4
"B8A","Ophelina acuminata",1,"4",NA,4
"B8A","Scoloplos armiger",1,"4",NA,4
"B8A","Polydora",14,"4",NA,56
"B8A","Heteromastus filiformis",7,"4","óviss, kannski einn mediomastus fragilis. Best að hafa þetta family (Capitellidae)",28
"B8A","Aricidea catherinae",2,"4","suecica",8
"B8A","Maldanidae",2,"4","Vantar afturenda (setti nokkra afturenda í túbuna)",8
"B8A","Lanassa venusta",1,"4",NA,4
"B8A","Nemertea",4,"4","óviss",16
"B8A","Cossura longocirrata",1,"4","óviss",4
"B8A","Dorvilleidae",1,"4",NA,4
"B8A","Sabellidae",1,"4",NA,4
"B8A","Nematoda",2,"4","óviss",8
"B8A","Spionida",4,"4",NA,16
"B8A","Bivalvia",2,"4",NA,8
"B8A","Nuculana pernula",1,"4",NA,4
"B8A","Macoma calcaria",7,"4",NA,28
"B8A","Mya arenaria",8,"4",NA,32
"B8A","Arctica islandica",2,"4",NA,8
"B8A","Parvicardium minimum",1,"4",NA,4
"B8B","Ophelina acuminata",23,"1",NA,23
"B8B","Scalibregma inflatum",1,"1","stór",1
"B8B","Polydora",14,"1",NA,14
"B8B","Maldanidae",3,"1",NA,3
"B8B","Nematoda",5,"1",NA,5
"B8B","Ostracoda",2,"1",NA,2
"B8B","Heteromastus filiformis",3,"1",NA,3
"B8B","Nemertea sp",6,"1",NA,6
"B8B","Polychaeta sp",2,"1",NA,2
"B8B","lirfurOgDrasl",9,"1","Einn stór og illa farinn í öðru glasi",9
"B8B","Spionidae sp",3,"1","illa farinn",3
"B8B","Ophelina acuminata",4,"4",NA,16
"B8B","Bivalvia",2,"4",NA,8
"B8B","Sphaerodoropsis minuta",1,"4",NA,4
"B8B","Pholoe sp",2,"4",NA,8
"B8B","Etone longa",2,"4",NA,8
"B8B","Amphipoda",3,"4",NA,12
"B8B","Ostracoda",6,"4",NA,24
"B8B","Pectinariidae sp",1,"4",NA,4
"B8B","Lumbrineridae sp",1,"4",NA,4
"B8B","Aricidea suecica",1,"4",NA,4
"B8B","Heteromastus filiformis",4,"4",NA,16
"B8B","Capitellidae",1,"4",NA,4
"B8B","Maldanidae",2,"4",NA,8
"B8B","Spionida sp",1,"4","illa farinn",4
"B8B","Oligochaeta sp",1,"4","augu Kannski maldanidae með augu",4
"B8B","Polydora",1,"4",NA,4
"B8B","Maldanidae með augu",1,"4",NA,4
"B8B","Scoloplos armiger",1,"1",NA,1
"B8B","Praxilella praetermissa",1,"1","Tveir afturendar að auki",1
"B8B","Oligochaeta sp",1,"1","augu Kannski maldanidae með augu",1
"B8B","Harpacticoida sp",4,"4",NA,16
"B8B","Nematoda",4,"4",NA,16
"B8B","Priapulidae sp",1,"4",NA,4
"B8B","lirfurOgDrasl",7,"4",NA,28
"B8B","Macoma calcaria",6,"4",NA,24
"B8B","Mya arenaria",12,"4",NA,48
"B8B","Arctica islandica",5,"4",NA,20
"B8B","Ennucula tenuis",3,"4",NA,12
"B8B","Leda pernula",7,"4",NA,28
"B8B","Parvicardium minimum",1,"4",NA,4
"B8C","Bivalvia",4,"1","innan í dauðri kúfskel",4
"B8C","Harpacticoida sp",2,"4",NA,8
"B8C","Heteromastus filiformis",6,"1",NA,6
"B8C","Heteromastus filiformis",6,"4",NA,24
"B8C","lirfurOgDrasl",7,"4",NA,28
"B8C","Maldanidae",2,"1",NA,2
"B8C","Maldanidae",1,"4",NA,4
"B8C","Nematoda",4,"1",NA,4
"B8C","Nematoda",2,"4",NA,8
"B8C","Nemertea sp",1,"1",NA,1
"B8C","Nemertea sp",1,"4",NA,4
"B8C","Ophelina acuminata",37,"1",NA,37
"B8C","Ophelina acuminata",1,"4",NA,4
"B8C","Ostracoda",3,"1",NA,3
"B8C","Polychaeta sp",2,"4",NA,8
"B8C","Polychaeta sp",1,"1",NA,1
"B8C","Polydora",12,"1",NA,12
"B8C","Polydora",6,"4",NA,24
"B8C","Praxillella praetermissa",1,"1",NA,1
"B8C","Praxillella praetermissa",2,"4",NA,8
"B8C","Priapulidae sp",1,"1",NA,1
"B8C","Scalibregma inflatum",5,"1","Einn stór innan í dauðri kúfskel",5
"B8C","Scalibregma inflatum",1,"4",NA,4
"B8C","Scoloplos armiger",3,"1",NA,3
"B8C","Scoloplos armiger",3,"4",NA,12
"B8C","Spionidae sp",1,"1",NA,1
"B8C","Spionidae sp",1,"4",NA,4
"B8C","Nuculana pernula",2,"4",NA,8
"B8C","Macoma calcaria",21,"4",NA,84
"B8C","Abra nitida",10,"4",NA,40
"B8C","Nuculana minuta",1,"4",NA,4
"B8C","Serripes groenlandicus",1,"4",NA,4
"B8C","Parvicardium minimum",2,"4",NA,8
"B8C","Arctica islandica",5,"4",NA,20
"B8C","Ennucula tenuis",3,"4",NA,12
"C4A","Chaetozone setosa",5,"4",NA,20
"C4A","Eteone longa",4,"4",NA,16
"C4A","Heteromastus filiformis",2,"4",NA,8
"C4A","Kurtiella bidentata",1,"4",NA,4
"C4A","Macoma calcaria",8,"4",NA,32
"C4A","Microphthalmus aberrans",1,"4",NA,4
"C4A","Nematoda",7,"1",NA,7
"C4A","Nematoda",17,"4",NA,68
"C4A","Nemertea sp",6,"4",NA,24
"C4A","Nuculana minuta",2,"4","Ekki 100%. Frekar sm‡ar miÝaÝ viÝ sàingareintšk ‡ vefnum",8
"C4A","Oligochaeta sp",12,"4",NA,48
"C4A","Ophelina acuminata",31,"4",NA,124
"C4A","—ßekkt",8,"4",NA,32
"C4A","Pectinaria granulata",2,"4",NA,8
"C4A","Platyhelminthes",1,"4",NA,4
"C4A","Polydora",2,"4",NA,8
"C4A","Priapulidae sp",2,"4",NA,8
"C4A","Scalibregma inflatum",4,"4",NA,16
"C4A","Scoloplos armiger",8,"4",NA,32
"C4A","Spionidae sp",13,"4",NA,52
"C4B","Abra prismatica",1,"4",NA,4
"C4B","Amphipoda",1,"4",NA,4
"C4B","Arctica islandica",1,"1",NA,1
"C4B","Aricidea suecica",4,"4",NA,16
"C4B","Chaetozone setosa",4,"4",NA,16
"C4B","Cirratulidae",3,"4","juv",12
"C4B","Eteone longa",1,"4",NA,4
"C4B","Harpacticoida sp",3,"4",NA,12
"C4B","Heteromastus filiformis",2,"4",NA,8
"C4B","Macoma calcaria",18,"4",NA,72
"C4B","Microphthalmus aberrans",1,"4",NA,4
"C4B","Mytilidae",2,"4",NA,8
"C4B","Nematoda",41,"4","rœmlega",164
"C4B","Nephtys",1,"1",NA,1
"C4B","Nuculana minuta",1,"4",NA,4
"C4B","Nuculana pernula",1,"4",NA,4
"C4B","Oligochaeta sp",9,"4",NA,36
"C4B","Oligochaeta sp",2,"1",NA,2
"C4B","Ophelina acuminata",21,"4",NA,84
"C4B","—ßekkt",8,"4",NA,32
"C4B","Polydora",1,"4",NA,4
"C4B","Priapulidae sp",1,"4",NA,4
"C4B","Priapulidae sp",1,"1","Sennilega alltaf Priapulus caudatus en Priapulus er meÝ AMBI",1
"C4B","Scalibregma inflatum",2,"4",NA,8
"C4B","Scoloplos armiger",1,"1",NA,1
"C4B","Scoloplos armiger",11,"4",NA,44
"C4B","Spionidae sp",1,"1",NA,1
"C4B","Spionidae sp",2,"4",NA,8
"C4C","Amphipoda",1,"4",NA,4
"C4C","Chaetozone setosa",3,"4",NA,12
"C4C","Cirratulidae",1,"4",NA,4
"C4C","Harpacticoida sp",13,"4",NA,52
"C4C","Kurtiella bidentata",2,"4",NA,8
"C4C","Macoma calcaria",15,"4","Ein kramin",60
"C4C","Mediomastus fragilis",7,"4",NA,28
"C4C","Nematoda",13,"4",NA,52
"C4C","Nemertea sp",3,"4",NA,12
"C4C","Nephtyidae",1,"1",NA,1
"C4C","Nuculana pernula",1,"4",NA,4
"C4C","Ophelina acuminata",1,"1",NA,1
"C4C","Ophelina acuminata",52,"4",NA,208
"C4C","Óþekkt",14,"4",NA,56
"C4C","Scalibregma inflatum",1,"4",NA,4
"C4C","Scoloplos armiger",16,"4",NA,64
"C4C","Spionidae sp",2,"4",NA,8
"C4C","Terebellinae",1,"4",NA,4
"E3A","Aricidea suecica",2,"4",NA,8
"E3A","Capitella capitata",1,"4","Burstar ‡ 1. liÝ, 9 frambolsliÝir. H‡rburstar ‡ 4 fremstu. Kr—kburstar fr‡ 5. Demystifying the Capitella capitata complex (Annelida, Capitellidae) diversity by morphological and molecular data along the Brazilian coast ",4
"E3A","Chaetozone setosa",1,"4",NA,4
"E3A","Corophium bonnellii",2,"4",NA,8
"E3A","Cossura longocirrata",2,"4",NA,8
"E3A","Gattyana cirrosa",1,"4",NA,4
"E3A","Hialella arctica",1,"4",NA,4
"E3A","Macoma calcaria",1,"4",NA,4
"E3A","Mediomastus fragilis",1,"4",NA,4
"E3A","Nematoda",3,"4",NA,12
"E3A","Nuculana minuta",1,"4",NA,4
"E3A","Oligochaeta sp",2,"4",NA,8
"E3A","Orbiniidae",1,"4","juv",4
"E3A","Ophelina acuminata",1,"1","Illa varÝveittur",1
"E3A","Ophelina acuminata",9,"4","einn mjšg illa varÝveittur",36
"E3A","Ostracoda",4,"4",NA,16
"E3A","Pectinaria hyperborea",1,"4","illa varÝveittur, uncini ekki sj‡anleg. …ruggara aÝ aÝ flokka sem Pectinariidae sp.",4
"E3A","Polydora",2,"4",NA,8
"E3A","Protomedeia fasciata",1,"4",NA,4
"E3A","Scalibregma inflatum",1,"4",NA,4
"E3A","Scoloplos armiger",1,"4","minni en 3 mm",4
"E3A","Spionidae sp",23,"4",NA,92
"E3B","Aricidea suecica",1,"4",NA,4
"E3B","Bivalvia",2,"4",NA,8
"E3B","Chaetozone setosa",8,"4","einn mjšg sm‡r",32
"E3B","Cossuridae",2,"4",NA,8
"E3B","Etone longa",1,"4",NA,4
"E3B","Harpacticoida sp",1,"4",NA,4
"E3B","Heteromastus filiformis",5,"4",NA,20
"E3B","Nuculana minuta",1,"4",NA,4
"E3B","Macoma calcaria",7,"4",NA,28
"E3B","Nematoda",2,"4",NA,8
"E3B","Oligochaeta sp",1,"1",NA,1
"E3B","Oligochaeta sp",1,"4",NA,4
"E3B","Ophelina acuminata",1,"1",NA,1
"E3B","Ophelina acuminata",22,"4",NA,88
"E3B","Polydora",6,"4",NA,24
"E3B","Polynoidae",1,"4",NA,4
"E3B","Scalibregma inflatum",4,"4",NA,16
"E3B","Scalibregma inflatum",1,"1",NA,1
"E3B","Spionidae sp",1,"1",NA,1
"E3B","Spionidae sp",38,"4",NA,152
"E3B","Pygospio elegans",1,"4",NA,4
"E3C","Amphipoda",1,"4",NA,4
"E3C","Amphitrite cirrata",1,"1","stór",1
"E3C","Aricidea suecica",3,"4",NA,12
"E3C","Arctica islandica",1,"4","Smá <10 mm",4
"E3C","Abra nitida",1,"4","Smá <3 mm",4
"E3C","Corophium bonnellii",3,"4",NA,12
"E3C","Chaetozone setosa",1,"1",NA,1
"E3C","Etone longa",1,"1",NA,1
"E3C","Harpacticoida sp",13,"4",NA,52
"E3C","Heteromastus filiformis",3,"4",NA,12
"E3C","Macoma calcaria",8,"4",NA,32
"E3C","Nematoda",11,"4",NA,44
"E3C","Nemertea sp",3,"4",NA,12
"E3C","Oligochaeta sp",6,"4",NA,24
"E3C","Ophelina acuminata",12,"4",NA,48
"E3C","Ophelina acuminata",1,"1",NA,1
"E3C","Phyllodoce maculata",2,"4",NA,8
"E3C","Polydora",1,"1",NA,1
"E3C","Polydora",10,"4",NA,40
"E3C","Praxillella praetermissa",4,"4","2 afturendar",16
"E3C","Scoloplos armiger",7,"4",NA,28
"E3C","Scoloplos armiger",1,"1",NA,1
"E3C","spio",2,"1",NA,2
"E3C","Spionidae sp",20,"4",NA,80
"E3C","Terebellinae",1,"4",NA,4
"E3C","Cirratulidae",1,"1","Slitinn og illa fixeraður",1
"E3C","Nematoda",4,"1",NA,4
"E3C","Ostracoda",3,"1",NA,3
"E3C","Foraminifera",3,"1",NA,3
"E3C","Syllidae",1,"4",NA,4
"E3C","Polynoidae",2,"4",NA,8
"E4A","Amphipoda",6,"4",NA,24
"E4A","Aricidea suecica",1,"4",NA,4
"E4A","Bivalvia",3,"1",NA,3
"E4A","Cumacea",1,"4",NA,4
"E4A","Etone longa",4,"4",NA,16
"E4A","Foraminifera",1,"4",NA,4
"E4A","Harpacticoida sp",5,"4",NA,20
"E4A","Heteromastus filiformis",3,"4",NA,12
"E4A","lirfurOgDrasl",1,"4","í glasi merktu ""drasl""",4
"E4A","Nematoda",14,"4",NA,56
"E4A","Nemertea sp",3,"4","í glasi merktu ""drasl""",12
"E4A","Oligochaeta sp",13,"4",NA,52
"E4A","Ophelina acuminata",25,"4",NA,100
"E4A","Ostracoda",3,"4","í glasi merktu ""drasl""",12
"E4A","Polydora",23,"4",NA,92
"E4A","Scalibregma inflatum",4,"4",NA,16
"E4A","Scoloplos armiger",3,"4",NA,12
"E4A","Spionidae sp",36,"4","eitthvað polydora (ekki viss, stendur týnt úr sýni og ¼)",144
"E4A","Spionidae sp",1,"4",NA,4
"E4A","Microphthalmus aberrans",7,"4",NA,28
"E4A","Chaetozone setosa",3,"4",NA,12
"E4A","Terebellinae",3,"4",NA,12
"E4A","Levinsenia gracilis",1,"4",NA,4
"E4A","Phyllodocida",1,"4","tæpur",4
"E4A","Sipuncula ",1,"4",NA,4
"E4A","Macoma calcaria",14,"1","ekki viss, stendur týnt úr sýni og ¼",14
"E4A","Terebellomorpha",1,"1","juv",1
"E4A","Abra nitida",1,"1",NA,1
"E4B","Amphipoda",11,"4",NA,44
"E4B","Harpacticoida",13,"4",NA,52
"E4B","Hialella arctica",1,"4",NA,4
"E4B","Macoma calcaria",11,"4",NA,44
"E4B","Nemertea",24,"4",NA,96
"E4B","Oligochaeta",5,"4",NA,20
"E4B","Ophelina acuminata",11,"4",NA,44
"E4B","Polydora",14,"4",NA,56
"E4B","Scalibregma inflatum",1,"4",NA,4
"E4B","Spionidae sp",30,"4",NA,120
"E4B","Amphipoda",1,"1","Mjšg sm‡ ",1
"E4B","Balanus balanus",1,"1","Kraminn",1
"E4B","Bivalvia",1,"1","Kannski Enucula sp.",1
"E4B","Campanulariidae",1,"4",NA,4
"E4B","Capitellidae",1,"1","ßurfti aÝ pilla sl’ÝriÝ af ",1
"E4B","Cirratulus cirratus",2,"1",NA,2
"E4B","Eteone longa",2,"1",NA,2
"E4B","Harmothoe nodosa",2,"4","í greiningarlykli frá GVH stendur Harmothoe sp. Líklega óskýr greining",8
"E4B","Harmothoe imbricata",1,"4",NA,4
"E4B","Harmothoe imbricata",1,"1",NA,1
"E4B","Harpacticoida",1,"1",NA,1
"E4B","Nematoda",11,"1",NA,11
"E4B","Nemertea",2,"1",NA,2
"E4B","Oligochaeta",4,"1",NA,4
"E4B","Ophelina acuminata",11,"1",NA,11
"E4B","Paraonidae ",1,"1",NA,1
"E4B","Polydora",9,"1",NA,9
"E4B","Scoloplos armiger",2,"1",NA,2
"E4B","Sphaerosyllis",1,"1",NA,1
"E4B","Tubificoides kozloffi",1,"1",NA,1
"E4B","Arctica islandica",2,"4",NA,8
"E4B","Chaetozone setosa",3,"4",NA,12
"E4B","Cumacea",1,"4",NA,4
"E4B","Eteone longa",7,"4",NA,28
"E4B","Heteromastus filiformis",1,"4","Ekki viss",4
"E4B","Maldanidae",1,"4","Illa farinn",4
"E4B","Mediomastus fragilis",2,"4",NA,8
"E4B","Nematoda",10,"4",NA,40
"E4B","Polynoidae",2,"4","Slitnir, afturhluti horfinn. ",8
"E4B","Scoloplos armiger",7,"4",NA,28
"E4C","Chaetozone setosa",2,"1",NA,2
"E4C","Eteone longa",1,"1",NA,1
"E4C","Oligochaeta sp",3,"1",NA,3
"E4C","Ophelina acuminata",1,"1",NA,1
"E4C","Polydora",20,"1",NA,20
"E4C","Praxillella praetermissa",1,"1",NA,1
"E4C","Scalibregma inflatum",1,"1",NA,1
"E4C","Scoloplos armiger",3,"1",NA,3
"E4C","Spionidae sp",10,"1",NA,10
"E4C","—ßekkt",6,"4","Ein tœba sem er svo vel l’md viÝ dàriÝ inn’ aÝ Žg eyÝilagÝi tvš einhvernt’man",24
"E4C","—ßekkt",1,"1",NA,1
"E4C","Nephtys",2,"1",NA,2
"E4C","Capitella capitata",1,"4",NA,4
"E4C","Chaetozone setosa",3,"4",NA,12
"E4C","Cirratulus cirratus",1,"4",NA,4
"E4C","Eteone longa",2,"4",NA,8
"E4C","Harmothoe nodosa",1,"4",NA,4
"E4C","Harpacticoida sp",2,"4",NA,8
"E4C","Microphthalmus aberrans",2,"4",NA,8
"E4C","Nematoda",3,"4",NA,12
"E4C","Nemertea sp",4,"4",NA,16
"E4C","Oligochaeta sp",9,"4",NA,36
"E4C","Ophelina acuminata",12,"4",NA,48
"E4C","Ophiuroidea",1,"4",NA,4
"E4C","Phyllodoce maculata",2,"4",NA,8
"E4C","Polydora",38,"4",NA,152
"E4C","Pygospio elegans",1,"4",NA,4
"E4C","Scalibregma inflatum",3,"4",NA,12
"E4C","Spionidae sp",31,"4","einn juv",124
"E4C","Terebellinae",1,"4",NA,4
"E4C","Abra nitida",1,"4",NA,4
"E4C","Acanthocardia tuberculata",1,"4","PŽtursskel, ‡Ýur Cardium fasciatum",4
"E4C","Amphipoda",3,"4","Datt ’ g—lfiÝ og kannski f—r allt œr",12
"E4C","Crassicorophium bonellii",2,"4","Nàtt heiti",8
"E4C","Heteromastus filiformis",7,"4",NA,28
"E4C","Macoma calcaria",5,"4",NA,20
"E4C","Maldanidae",1,"4",NA,4
