Unnamed: 0,Phylum,Class,Flokkun,A7,B5,B8,C4,E3,E4,Year
6,Annelida,Polychaeta,Arenicola marina,,,,16,,33,2014
7,Annelida,Polychaeta,Aricidea suecica,,,,,66,,2014
8,Annelida,Polychaeta,Capitella capitata,6700,1300,3117,75,233,1416,2014
9,Annelida,Polychaeta,Chaetozone setosa,,8,,58,1525,183,2014
10,Annelida,Polychaeta,Cirratulus cirratus,,8,,33,66,33,2014
11,Annelida,Polychaeta,Dodecaceria concharum,,,,,,33,2014
12,Annelida,Polychaeta,Eteone longa,1099,566,233,849,300,367,2014
13,Annelida,Polychaeta,Euchone sp.,,8,,,,,2014
14,Annelida,Polychaeta,Harmothoe extenuata,,42,,117,975,92,2014
15,Annelida,Polychaeta,Lanassa venusta,,8,,,100,,2014
16,Annelida,Polychaeta,Malacoceros fuliginosus,33,484,,,,117,2014
17,Annelida,Polychaeta,Mediomastus fragilis,,,,17,400,50,2014
18,Annelida,Polychaeta,Microphthalmus aberrans,33,25,100,217,900,509,2014
19,Annelida,Polychaeta,Naineris quadricuspida,,,,,100,25,2014
20,Annelida,Polychaeta,Nephthys sp.,,,,,25,,2014
21,Annelida,Polychaeta,Nereis pelagica,,,,,33,,2014
22,Annelida,Polychaeta,Ophelina acuminata,,,,8,8,,2014
23,Annelida,Polychaeta,Cistenides granulata,,,,,8,,2014
24,Annelida,Polychaeta,Lagis koreni,,,,33,67,,2014
25,Annelida,Polychaeta,Phyllodoce maculata,,33,,66,108,33,2014
26,Annelida,Polychaeta,Polydora sp.,,16,,,166,42,2014
27,Annelida,Polychaeta,Praxillella praetermissa,,,,,58,,2014
28,Annelida,Polychaeta,Sabellida,,,,,,8,2014
29,Annelida,Polychaeta,Scoloplos armiger,,8,,84,66,67,2014
30,Annelida,Polychaeta,Sphaerosyllis erinaceus,,8,,,66,,2014
31,Annelida,Polychaeta,Spio sp.,67,308,33,458,1566,309,2014
32,Annelida,Polychaeta,Syllis cornuta,,,,50,8,8,2014
33,Annelida,Polychaeta,Terebellides stroemii,,,,,,8,2014
34,Arthropoda,Malacostraca,Caprella septentrionalis,,,,,33,,2014
35,Arthropoda,Malacostraca,Protomedeia fasciata,,58,,,166,75,2014
36,Arthropoda,Thecostraca,Balanus sp.,,,,,3033,,2014
37,Arthropoda,Thecostraca,Verruca stroemia,,,33,,,,2014
38,Bryozoa,,Bryozoa,,,,,25,,2014
39,Chordata,,Tunicata,,,,,57,,2014
40,Cnidaria,Anthozoa,Anthozoa,,,,,8,,2014
41,Echinodermata,Asteroidea,Asteroidea,,,,,33,,2014
42,Mollusca,Bivalvia,Arctica islandica,,,,8,8,,2014
43,Mollusca,Bivalvia,Ciliatocardium ciliatum,,,,,17,,2014
44,Mollusca,Bivalvia,Ennucula tenuis,,8,,17,,,2014
45,Mollusca,Bivalvia,Hiatella arctica,,,,,142,,2014
46,Mollusca,Bivalvia,Macoma calcarea,,8,,217,200,,2014
47,Mollusca,Bivalvia,Mya arenaria,,,,,408,25,2014
48,Mollusca,Bivalvia,Mya truncata,,,33,,,,2014
49,Mollusca,Bivalvia,Mytilus edulis,,,8,133,575,,2014
50,Mollusca,Gastropoda,Onoba aculeus,,,,,67,,2014
51,Platyhelminthes,Turbellaria,Platyhelminthes,,,,,74,,2014
52,Priapulida,,Priapulus caudatus,,16,,,8,8,2014
2,,Polychaeta,Sipuncula,,,,33,,8,2015
3,Annelida,Clitellata,Tubificoides benedii,,,,100,,,2015
4,Annelida,Clitellata,Tubificoides kozloffi,,,,100,,33,2015
5,Annelida,Polychaeta,Amphitrite cirrata,,,,,8,,2015
6,Annelida,Polychaeta,Apistobranchus tullbergi,,,,,33,33,2015
7,Annelida,Polychaeta,Arenicola marina,,,,8,,,2015
8,Annelida,Polychaeta,Aricidea suecica,33,,,,,33,2015
9,Annelida,Polychaeta,Capitella capitata,,33,,,,,2015
10,Annelida,Polychaeta,Chaetozone setosa,,133,33,442,393,416,2015
11,Annelida,Polychaeta,Cirratulus cirratus,,33,,33,175,,2015
12,Annelida,Polychaeta,Cossura longocirrata,,,,,,67,2015
13,Annelida,Polychaeta,Eteone longa,50,82,50,417,150,166,2015
14,Annelida,Polychaeta,Euchone sp.,,,,,,67,2015
15,Annelida,Polychaeta,Flabelligera affinis,,,,,8,,2015
16,Annelida,Polychaeta,Galathowenia oculata,,,,8,,8,2015
17,Annelida,Polychaeta,Glycera capitata,,,,,8,,2015
18,Annelida,Polychaeta,Harmothoe extenuata,,,,33,408,74,2015
19,Annelida,Polychaeta,Lanassa venusta,,167,,,17,,2015
21,Annelida,Polychaeta,Mediomastus fragilis,300,633,508,542,133,591,2015
22,Annelida,Polychaeta,Microphthalmus aberrans,100,167,,208,167,75,2015
23,Annelida,Polychaeta,Nephthys sp.,8,,,8,41,16,2015
24,Annelida,Polychaeta,Nereimyra punctata,,,,,33,,2015
25,Annelida,Polychaeta,Ophelina acuminata,67,982,142,1025,899,417,2015
26,Annelida,Polychaeta,Parougia nigridentata,,,,,,33,2015
27,Annelida,Polychaeta,Cistenides granulata,,,,,34,,2015
28,Annelida,Polychaeta,Lagis koreni,33,16,17,33,33,,2015
29,Annelida,Polychaeta,Pholoe minuta,,,,33,,67,2015
30,Annelida,Polychaeta,Phyllodoce maculata,,,,,134,,2015
31,Annelida,Polychaeta,Polydora sp.,183,192,142,67,274,833,2015
32,Annelida,Polychaeta,Praxillella praetermissa,,8,,,,59,2015
33,Annelida,Polychaeta,Scalibregma inflatum,41,16,,8,,8,2015
34,Annelida,Polychaeta,Scoloplos armiger,33,250,174,833,199,,2015
35,Annelida,Polychaeta,Sphaerosyllis erinaceus,33,,,,133,,2015
36,Annelida,Polychaeta,Spio sp.,41,300,133,741,726,442,2015
37,Annelida,Polychaeta,Syllis cornuta,,,,33,33,,2015
38,Annelida,Polychaeta,Terebellides stroemii,,,33,,33,66,2015
39,Arthropoda,Malacostraca,Protomedeia fasciata,,,,,266,33,2015
40,Arthropoda,Thecostraca,Balanus sp.,,,,833,,,2015
41,Chordata,,Tunicata,,,,,133,,2015
43,Mollusca,Bivalvia,Arctica islandica,,,,,,33,2015
44,Mollusca,Bivalvia,Crenella decussata,33,,,33,,,2015
45,Mollusca,Bivalvia,Ennucula tenuis,,100,,,33,,2015
46,Mollusca,Bivalvia,Hiatella arctica,,,,,150,,2015
47,Mollusca,Bivalvia,Macoma calcarea,367,1100,501,1217,733,541,2015
48,Mollusca,Bivalvia,Musculus sp.,,,,,8,,2015
49,Mollusca,Bivalvia,Mya arenaria,133,66,133,133,133,100,2015
50,Mollusca,Bivalvia,Mytilus edulis,,233,,133,33,,2015
51,Mollusca,Bivalvia,Serripes groenlandicus,,,,,33,,2015
52,Priapulida,,Priapulus caudatus,,33,,,,,2015
1,Annelida,,Sipuncula,,,,,,33,2016
3,Annelida,Clitellata,Tubificoides kozloffi,,66,41,717,308,966,2016
4,Annelida,Polychaeta,Ampharetidae,33,,,,,,2016
5,Annelida,Polychaeta,Amphitrite cirrata,,,67,,8,,2016
6,Annelida,Polychaeta,Aricidea suecica,133,100,33,133,200,33,2016
7,Annelida,Polychaeta,Capitella capitata,191,33,66,,33,41,2016
8,Annelida,Polychaeta,Chaetozone setosa,8,333,,400,308,317,2016
9,Annelida,Polychaeta,Cirratulus cirratus,,33,,133,8,50,2016
10,Annelida,Polychaeta,Cistenides granulata,,,,67,33,,2016
12,Annelida,Polychaeta,Cossura longocirrata,199,167,33,,134,,2016
14,Annelida,Polychaeta,Eteone longa,8,,67,166,41,458,2016
15,Annelida,Polychaeta,Eunoe nodosa,,,,,,100,2016
17,Annelida,Polychaeta,Harmothoe imbricata,,,,,133,108,2016
18,Annelida,Polychaeta,Heteromastus filiformis,925,367,641,134,267,366,2016
19,Annelida,Polychaeta,Lanassa venusta,,,33,,,,2016
21,Annelida,Polychaeta,Levinsenia gracilis,,33,,,,33,2016
22,Annelida,Polychaeta,Lumbrineris sp.,,,33,,,,2016
24,Annelida,Polychaeta,Mediomastus fragilis,,,,233,33,67,2016
25,Annelida,Polychaeta,Microphthalmus aberrans,33,66,,66,,300,2016
26,Annelida,Polychaeta,Nephthys sp.,,,,16,,17,2016
27,Annelida,Polychaeta,Ophelina acuminata,1218,2408,891,3474,1457,1700,2016
29,Annelida,Polychaeta,Paraonidae,33,,,,,8,2016
30,Annelida,Polychaeta,Lagis koreni,,,41,,,,2016
31,Annelida,Polychaeta,Pholoe minuta,,,67,,,,2016
32,Annelida,Polychaeta,Phyllodoce maculata,,,,,67,100,2016
34,Annelida,Polychaeta,Polydora sp.,666,41,1025,100,608,2743,2016
36,Annelida,Polychaeta,Praxillella praetermissa,408,241,367,,133,74,2016
38,Annelida,Polychaeta,Sabellida,,33,33,,,,2016
39,Annelida,Polychaeta,Scalibregma inflatum,483,341,83,233,174,274,2016
40,Annelida,Polychaeta,Scoloplos armiger,400,,166,1175,307,375,2016
41,Annelida,Polychaeta,Sphaerodoropsis minuta,,,33,,,,2016
42,Annelida,Polychaeta,Sphaerosyllis erinaceus,,,,,,8,2016
43,Annelida,Polychaeta,Spio sp.,83,308,240,575,2759,3382,2016
45,Annelida,Polychaeta,Syllis cornuta,33,,,,33,,2016
46,Annelida,Polychaeta,Terebellides stroemii,,,8,33,33,141,2016
49,Arthropoda,Malacostraca,Crassicorophium bonellii,66,,,,167,67,2016
50,Arthropoda,Malacostraca,Cumacea,,,,,,66,2016
51,Arthropoda,Malacostraca,Protomedeia fasciata,,,,,33,,2016
52,Arthropoda,Ostracoda,Ostracoda,,,133,,,,2016
53,Arthropoda,Thecostraca,Balanus sp.,,,,,,8,2016
54,Echinodermata,Ophiuroidea,Ophiuroidea,,,,,,33,2016
55,Mollusca,Bivalvia,Abra nitida,,,333,,33,41,2016
56,Mollusca,Bivalvia,Abra prismatica,,,,33,,,2016
57,Mollusca,Bivalvia,Acanthocardia tuberculata,,,,,,33,2016
58,Mollusca,Bivalvia,Arctica islandica,100,33,401,8,33,67,2016
61,Mollusca,Bivalvia,Ennucula tenuis,,266,200,,,,2016
62,Mollusca,Bivalvia,Hiatella arctica,,,,,33,33,2016
63,Mollusca,Bivalvia,Kurtiella bidentata,,,,100,,,2016
64,Mollusca,Bivalvia,Macoma calcarea,341,584,1133,1367,533,651,2016
65,Mollusca,Bivalvia,Mya arenaria,291,33,667,,,,2016
66,Mollusca,Bivalvia,Mytilus edulis,,,,67,,,2016
67,Mollusca,Bivalvia,Nuculana minuta,,,33,100,66,,2016
68,Mollusca,Bivalvia,Nuculana pernula,,100,333,66,,,2016
69,Mollusca,Bivalvia,Parvicardium minimum,,,133,,,,2016
70,Mollusca,Bivalvia,Serripes groenlandicus,41,,33,,,,2016
71,Platyhelminthes,,Platyhelminthes,,,,33,,,2016
72,Priapulida,,Priapulus caudatus,,,74,108,,,2016
1,Annelida,,Sipuncula,,67,,,,,2017
4,Annelida,Clitellata,Tubificoides benedii,,100,,67,,,2017
5,Annelida,Clitellata,Tubificoides kozloffi,,33,,33,,,2017
6,Annelida,Polychaeta,Ampharetidae ,,,33,,33,66,2017
7,Annelida,Polychaeta,Amphitrite cirrata,,,,,8,,2017
8,Annelida,Polychaeta,Apistobranchus tullbergi,,,33,,66,,2017
9,Annelida,Polychaeta,Arenicola marina,,,,33,,,2017
10,Annelida,Polychaeta,Aricidea suecica,100,167,,33,33,99,2017
11,Annelida,Polychaeta,Chaetozone setosa,233,200,167,800,199,66,2017
12,Annelida,Polychaeta,Cirratulus cirratus,,,,,33,,2017
13,Annelida,Polychaeta,Cossura longocirrata,33,134,100,,33,,2017
14,Annelida,Polychaeta,Cossura pygodactylata,,67,,,,200,2017
15,Annelida,Polychaeta,Eteone longa,67,100,,200,74,275,2017
16,Annelida,Polychaeta,Euchone sp.,,,,,33,,2017
17,Annelida,Polychaeta,Flabelligera affinis,,,,,33,,2017
18,Annelida,Polychaeta,Galathowenia oculata,,,,,,33,2017
19,Annelida,Polychaeta,Harmothoe extenuata,66,,,33,218,133,2017
20,Annelida,Polychaeta,Heteromastus filiformis,,,,,66,,2017
21,Annelida,Polychaeta,Lanassa venusta,,67,,,166,33,2017
23,Annelida,Polychaeta,Mediomastus fragilis,266,533,534,434,300,666,2017
24,Annelida,Polychaeta,Microphthalmus aberrans,133,33,33,166,,167,2017
25,Annelida,Polychaeta,Nephthys sp.,,8,,16,33,16,2017
26,Annelida,Polychaeta,Nicolea zostericola,,,,,33,,2017
27,Annelida,Polychaeta,Notomastus latericeus,,33,,,,,2017
28,Annelida,Polychaeta,Ophelina acuminata,108,408,276,1600,33,733,2017
29,Annelida,Polychaeta,Cistenides granulata,,,,,41,,2017
30,Annelida,Polychaeta,Lagis koreni,,66,,82,,,2017
31,Annelida,Polychaeta,Pherusa plumosa,,,,,33,,2017
32,Annelida,Polychaeta,Pholoe minuta,,,,,,33,2017
33,Annelida,Polychaeta,Phyllodoce maculata,,,,,,416,2017
34,Annelida,Polychaeta,Polydora sp.,33,67,166,108,566,10950,2017
35,Annelida,Polychaeta,Praxillella praetermissa,259,283,225,,367,382,2017
36,Annelida,Polychaeta,Sabellida,,,,,33,,2017
37,Annelida,Polychaeta,Scalibregma inflatum,1467,125,2174,300,233,100,2017
38,Annelida,Polychaeta,Scoloplos armiger,400,651,333,708,574,833,2017
39,Annelida,Polychaeta,Sphaerosyllis erinaceus,,,,,67,67,2017
41,Annelida,Polychaeta,Spio sp.,66,41,,100,133,774,2017
42,Annelida,Polychaeta,Syllis cornuta,,,,33,,,2017
44,Annelida,Polychaeta,Terebellides stroemii,8,,,,41,,2017
46,Arthropoda,Malacostraca,Caprella septentrionalis,,,,,33,,2017
47,Arthropoda,Malacostraca,Crassicorophium bonellii,66,,33,,266,834,2017
48,Arthropoda,Malacostraca,Cumacea,,,,,,33,2017
49,Arthropoda,Malacostraca,Dexamine thea,,,,,33,,2017
50,Arthropoda,Malacostraca,Protomedeia fasciata,,,,33,33,933,2017
51,Arthropoda,Pycnogonida,Pycnogonida,,33,,,,,2017
52,Arthropoda,Thecostraca,Balanus sp.,,,,,,1533,2017
53,Echinodermata,Asteroidea,Asteroidea,,,,,,33,2017
54,Mollusca,Bivalvia,Abra nitida,267,600,567,267,,333,2017
55,Mollusca,Bivalvia,Acanthocardia echinata,,8,,,,,2017
56,Mollusca,Bivalvia,Arctica islandica,33,33,167,,33,200,2017
57,Mollusca,Bivalvia,Ennucula tenuis,,33,,33,33,,2017
58,Mollusca,Bivalvia,Hiatella arctica,,,,,41,133,2017
59,Mollusca,Bivalvia,Macoma calcarea,191,1009,1034,1117,275,592,2017
60,Mollusca,Bivalvia,Musculus sp.,,,,,33,,2017
61,Mollusca,Bivalvia,Mya arenaria,,,166,33,67,475,2017
62,Mollusca,Bivalvia,Mytilus edulis,,,67,,,,2017
63,Mollusca,Bivalvia,Parvicardium pinnulatum,,,,,,133,2017
64,Mollusca,Bivalvia,Serripes groenlandicus,,33,,,,,2017
65,Mollusca,Bivalvia,Thyasira flexuosa,33,166,,,67,67,2017
66,Mollusca,Gastropoda,Buccinum undatum,,,,,8,8,2017
67,Mollusca,Gastropoda,Gibbula tumida,,,,,8,,2017
68,Mollusca,Gastropoda,Margarites groenlandicus,,,,,33,,2017
69,Mollusca,Gastropoda,Naticidae,,,,,,33,2017
70,Mollusca,Gastropoda,Nudibranchia,,,,,67,,2017
71,Mollusca,Gastropoda,Onoba aculeus,33,,,,,,2017
72,Mollusca,Gastropoda,Onoba striata,,,,,33,,2017
73,Mollusca,Gastropoda,Retusa pertenuis,,,33,,,,2017
74,Platyhelminthes,Turbellaria,Platyhelminthes,,,,,,33,2017
75,Priapulida,,Priapulus caudatus,33,33,33,100,,33,2017
