,Phylum,Class,Flokkun,A7,B5,B8,C4,E3,E4,Year
35,Annelida,Polychaeta,Syllisgracilis,0,0,89,0,0,44,1999
36,Annelida,Polychaeta,Terebellidesstroemii,44,1111,133,0,711,133,1999
37,Arthropoda,Malacostraca,Caprellaseptentrionalis,0,0,0,89,0,711,1999
38,Arthropoda,Malacostraca,Crassicorophiumbonellii,0,0,0,0,356,89,1999
39,Arthropoda,Malacostraca,Cumacea,0,0,89,533,1200,44,1999
40,Arthropoda,Malacostraca,Munnasp,0,0,0,89,0,0,1999
41,Arthropoda,Malacostraca,Paroediceroslynceus,0,0,0,133,356,0,1999
42,Arthropoda,Malacostraca,Protomedeiafasciata,311,0,933,222,44,0,1999
43,Arthropoda,Ostracoda,Philomedesglobosus,0,0,0,89,133,0,1999
44,Echinodermata,Ophiuroidea,Ophiuroidea,0,44,0,0,0,0,1999
45,Mollusca,Bivalvia,Abranitida,44,44,89,44,0,0,1999
46,Mollusca,Bivalvia,Arcticaislandica,0,178,400,0,133,0,1999
47,Mollusca,Bivalvia,Astartesp,0,0,0,0,178,0,1999
48,Mollusca,Bivalvia,Crenelladecussata,0,0,89,0,44,0,1999
49,Mollusca,Bivalvia,Ennuculatenuis,311,1422,1111,444,222,44,1999
50,Mollusca,Bivalvia,Ledapernula,0,0,133,0,44,0,1999
51,Mollusca,Bivalvia,Macomacalcarea,0,444,133,311,1067,311,1999
52,Mollusca,Bivalvia,Musculussp,0,0,0,178,0,0,1999
53,Mollusca,Bivalvia,Mytilusedulis,0,889,133,1244,356,0,1999
54,Mollusca,Bivalvia,Thraciavillosiuscula,0,0,89,0,0,0,1999
55,Mollusca,Bivalvia,Thyasiraflexuosa,0,178,0,0,178,0,1999
56,Mollusca,Bivalvia,Yoldiahyperborea,0,133,44,44,0,0,1999
57,Mollusca,Gastropoda,Buccinumundatum,0,0,44,0,0,0,1999
58,Mollusca,Gastropoda,Onobaaculeus,0,0,0,178,0,0,1999
59,Mollusca,Gastropoda,Retusapertenuis,0,0,44,89,0,0,1999
60,Priapulida,Priapulida,Priapuluscaudatus,0,178,0,0,44,0,1999
2,Annelida,Clitellata,Tubificoidesbenedii,0,0,0,67,0,0,2013
3,Annelida,Clitellata,Tubificoideskozloffi,0,75,0,75,133,0,2013
4,Annelida,Polychaeta,Aricideasuecica,0,0,0,141,67,0,2013
5,Annelida,Polychaeta,Capitellacapitata,200,10391,2859,7616,23974,21083,2013
6,Annelida,Polychaeta,Chaetozonesetosa,0,0,0,292,1000,0,2013
7,Annelida,Polychaeta,Cossuralongocirrata,0,0,0,0,8,0,2013
8,Annelida,Polychaeta,Eteonelonga,0,0,67,143,109,0,2013
9,Annelida,Polychaeta,Eunoenodosa,0,0,0,83,50,0,2013
10,Annelida,Polychaeta,Harmothoeextenuata,0,0,0,201,208,0,2013
11,Annelida,Polychaeta,Harmothoeimbricata,0,0,0,8,0,0,2013
12,Annelida,Polychaeta,Levinseniagracilis,0,0,0,0,8,0,2013
13,Annelida,Polychaeta,Mediomastusfragilis,0,0,0,67,0,8,2013
14,Annelida,Polychaeta,Microphthalmusaberrans,0,25,67,541,192,0,2013
15,Annelida,Polychaeta,Praxillellapraetermissa,0,0,0,0,50,0,2013
16,Annelida,Polychaeta,Scoloplosarmiger,0,0,0,25,0,0,2013
17,Annelida,Polychaeta,Spiosp,0,25,0,2159,841,8,2013
18,Arthropoda,Arachnida,Acarina,0,67,0,0,17,0,2013
19,Arthropoda,Malacostraca,Crassicorophiumbonellii,0,0,0,0,8,0,2013
20,Echinodermata,Ophiuroidea,Ophiuroidea,0,0,0,0,8,0,2013
21,Mollusca,Bivalvia,Arcticaislandica,0,0,0,67,0,0,2013
23,Mollusca,Polyplacophora,Polyplacophora,0,0,0,0,67,0,2013
1,Annelida,Sipuncula,Sipuncula,0,0,0,8,0,0,2014
2,Annelida,Clitellata,Tubificoidesbenedii,0,0,0,8,0,0,2014
3,Annelida,Clitellata,Tubificoideskozloffi,0,8,0,108,2699,1859,2014
4,Annelida,Polychaeta,Ampharetidae,0,0,0,0,8,0,2014
5,Annelida,Polychaeta,Amphitritecirrata,0,0,0,0,91,0,2014
6,Annelida,Polychaeta,Arenicolamarina,0,0,0,16,0,33,2014
7,Annelida,Polychaeta,Aricideasuecica,0,0,0,0,66,0,2014
8,Annelida,Polychaeta,Capitellacapitata,6700,1300,3117,75,233,1416,2014
9,Annelida,Polychaeta,Chaetozonesetosa,0,8,0,58,1525,183,2014
10,Annelida,Polychaeta,Cirratuluscirratus,0,8,0,33,66,33,2014
11,Annelida,Polychaeta,Dodecaceriaconcharum,0,0,0,0,0,33,2014
12,Annelida,Polychaeta,Eteonelonga,1099,566,233,849,300,367,2014
13,Annelida,Polychaeta,Euchonesp,0,8,0,0,0,0,2014
14,Annelida,Polychaeta,Harmothoeextenuata,0,42,0,117,975,92,2014
15,Annelida,Polychaeta,Lanassavenusta,0,8,0,0,100,0,2014
16,Annelida,Polychaeta,Malacocerosfuliginosus,33,484,0,0,0,117,2014
17,Annelida,Polychaeta,Mediomastusfragilis,0,0,0,17,400,50,2014
18,Annelida,Polychaeta,Microphthalmusaberrans,33,25,100,217,900,509,2014
19,Annelida,Polychaeta,Nainerisquadricuspida,0,0,0,0,100,25,2014
20,Annelida,Polychaeta,Nephthyssp,0,0,0,0,25,0,2014
21,Annelida,Polychaeta,Nereispelagica,0,0,0,0,33,0,2014
22,Annelida,Polychaeta,Ophelinaacuminata,0,0,0,8,8,0,2014
23,Annelida,Polychaeta,Cistenidesgranulata,0,0,0,0,8,0,2014
24,Annelida,Polychaeta,Lagiskoreni,0,0,0,33,67,0,2014
25,Annelida,Polychaeta,Phyllodocemaculata,0,33,0,66,108,33,2014
26,Annelida,Polychaeta,Polydorasp,0,16,0,0,166,42,2014
27,Annelida,Polychaeta,Praxillellapraetermissa,0,0,0,0,58,0,2014
28,Annelida,Polychaeta,Sabellida,0,0,0,0,0,8,2014
29,Annelida,Polychaeta,Scoloplosarmiger,0,8,0,84,66,67,2014
30,Annelida,Polychaeta,Sphaerosylliserinaceus,0,8,0,0,66,0,2014
31,Annelida,Polychaeta,Spiosp,67,308,33,458,1566,309,2014
32,Annelida,Polychaeta,Sylliscornuta,0,0,0,50,8,8,2014
33,Annelida,Polychaeta,Terebellidesstroemii,0,0,0,0,0,8,2014
34,Arthropoda,Malacostraca,Caprellaseptentrionalis,0,0,0,0,33,0,2014
35,Arthropoda,Malacostraca,Protomedeiafasciata,0,58,0,0,166,75,2014
36,Arthropoda,Thecostraca,Balanussp,0,0,0,0,3033,0,2014
37,Arthropoda,Thecostraca,Verrucastroemia,0,0,33,0,0,0,2014
38,Bryozoa,Bryozoa,Bryozoa,0,0,0,0,25,0,2014
39,Chordata,Tunicata,Tunicata,0,0,0,0,57,0,2014
40,Cnidaria,Anthozoa,Anthozoa,0,0,0,0,8,0,2014
41,Echinodermata,Asteroidea,Asteroidea,0,0,0,0,33,0,2014
42,Mollusca,Bivalvia,Arcticaislandica,0,0,0,8,8,0,2014
43,Mollusca,Bivalvia,Ciliatocardiumciliatum,0,0,0,0,17,0,2014
44,Mollusca,Bivalvia,Ennuculatenuis,0,8,0,17,0,0,2014
45,Mollusca,Bivalvia,Hiatellaarctica,0,0,0,0,142,0,2014
46,Mollusca,Bivalvia,Macomacalcarea,0,8,0,217,200,0,2014
47,Mollusca,Bivalvia,Myaarenaria,0,0,0,0,408,25,2014
48,Mollusca,Bivalvia,Myatruncata,0,0,33,0,0,0,2014
49,Mollusca,Bivalvia,Mytilusedulis,0,0,8,133,575,0,2014
50,Mollusca,Gastropoda,Onobaaculeus,0,0,0,0,67,0,2014
51,Platyhelminthes,Turbellaria,Platyhelminthes,0,0,0,0,74,0,2014
52,Priapulida,Priuapulida,Priapuluscaudatus,0,16,0,0,8,8,2014
2,Annelida,Polychaeta,Sipuncula,0,0,0,33,0,8,2015
3,Annelida,Clitellata,Tubificoidesbenedii,0,0,0,100,0,0,2015
4,Annelida,Clitellata,Tubificoideskozloffi,0,0,0,100,0,33,2015
5,Annelida,Polychaeta,Amphitritecirrata,0,0,0,0,8,0,2015
6,Annelida,Polychaeta,Apistobranchustullbergi,0,0,0,0,33,33,2015
7,Annelida,Polychaeta,Arenicolamarina,0,0,0,8,0,0,2015
8,Annelida,Polychaeta,Aricideasuecica,33,0,0,0,0,33,2015
9,Annelida,Polychaeta,Capitellacapitata,0,33,0,0,0,0,2015
10,Annelida,Polychaeta,Chaetozonesetosa,0,133,33,442,393,416,2015
11,Annelida,Polychaeta,Cirratuluscirratus,0,33,0,33,175,0,2015
12,Annelida,Polychaeta,Cossuralongocirrata,0,0,0,0,0,67,2015
13,Annelida,Polychaeta,Eteonelonga,50,82,50,417,150,166,2015
14,Annelida,Polychaeta,Euchonesp,0,0,0,0,0,67,2015
15,Annelida,Polychaeta,Flabelligeraaffinis,0,0,0,0,8,0,2015
16,Annelida,Polychaeta,Galathoweniaoculata,0,0,0,8,0,8,2015
17,Annelida,Polychaeta,Glyceracapitata,0,0,0,0,8,0,2015
18,Annelida,Polychaeta,Harmothoeextenuata,0,0,0,33,408,74,2015
19,Annelida,Polychaeta,Lanassavenusta,0,167,0,0,17,0,2015
21,Annelida,Polychaeta,Mediomastusfragilis,300,633,508,542,133,591,2015
22,Annelida,Polychaeta,Microphthalmusaberrans,100,167,0,208,167,75,2015
23,Annelida,Polychaeta,Nephthyssp,8,0,0,8,41,16,2015
24,Annelida,Polychaeta,Nereimyrapunctata,0,0,0,0,33,0,2015
25,Annelida,Polychaeta,Ophelinaacuminata,67,982,142,1025,899,417,2015
26,Annelida,Polychaeta,Parougianigridentata,0,0,0,0,0,33,2015
27,Annelida,Polychaeta,Cistenidesgranulata,0,0,0,0,34,0,2015
28,Annelida,Polychaeta,Lagiskoreni,33,16,17,33,33,0,2015
29,Annelida,Polychaeta,Pholoeminuta,0,0,0,33,0,67,2015
30,Annelida,Polychaeta,Phyllodocemaculata,0,0,0,0,134,0,2015
31,Annelida,Polychaeta,Polydorasp,183,192,142,67,274,833,2015
32,Annelida,Polychaeta,Praxillellapraetermissa,0,8,0,0,0,59,2015
33,Annelida,Polychaeta,Scalibregmainflatum,41,16,0,8,0,8,2015
34,Annelida,Polychaeta,Scoloplosarmiger,33,250,174,833,199,0,2015
35,Annelida,Polychaeta,Sphaerosylliserinaceus,33,0,0,0,133,0,2015
36,Annelida,Polychaeta,Spiosp,41,300,133,741,726,442,2015
37,Annelida,Polychaeta,Sylliscornuta,0,0,0,33,33,0,2015
38,Annelida,Polychaeta,Terebellidesstroemii,0,0,33,0,33,66,2015
39,Arthropoda,Malacostraca,Protomedeiafasciata,0,0,0,0,266,33,2015
40,Arthropoda,Thecostraca,Balanussp,0,0,0,833,0,0,2015
41,Chordata,Tunicata,Tunicata,0,0,0,0,133,0,2015
43,Mollusca,Bivalvia,Arcticaislandica,0,0,0,0,0,33,2015
44,Mollusca,Bivalvia,Crenelladecussata,33,0,0,33,0,0,2015
45,Mollusca,Bivalvia,Ennuculatenuis,0,100,0,0,33,0,2015
46,Mollusca,Bivalvia,Hiatellaarctica,0,0,,0,150,0,2015
47,Mollusca,Bivalvia,Macomacalcarea,367,1100,501,1217,733,541,2015
48,Mollusca,Bivalvia,Musculussp,0,0,0,0,8,0,2015
49,Mollusca,Bivalvia,Myaarenaria,133,66,133,133,133,100,2015
50,Mollusca,Bivalvia,Mytilusedulis,0,233,0,133,33,0,2015
51,Mollusca,Bivalvia,Serripesgroenlandicus,0,0,0,0,33,0,2015
52,Priapulida,Priuapulida,Priapuluscaudatus,0,33,0,0,0,0,2015
1,Annelida,Sipuncula,Sipuncula,0,0,0,0,0,33,2016
3,Annelida,Clitellata,Tubificoideskozloffi,0,66,41,717,308,966,2016
4,Annelida,Polychaeta,Ampharetidae,33,0,0,0,0,0,2016
5,Annelida,Polychaeta,Amphitritecirrata,0,0,67,0,8,0,2016
6,Annelida,Polychaeta,Aricideasuecica,133,100,33,133,200,33,2016
7,Annelida,Polychaeta,Capitellacapitata,191,33,66,0,33,41,2016
8,Annelida,Polychaeta,Chaetozonesetosa,8,333,0,400,308,317,2016
9,Annelida,Polychaeta,Cirratuluscirratus,0,33,0,133,8,50,2016
10,Annelida,Polychaeta,Cistenidesgranulata,0,0,0,67,33,0,2016
12,Annelida,Polychaeta,Cossuralongocirrata,199,167,33,0,134,0,2016
14,Annelida,Polychaeta,Eteonelonga,8,0,67,166,41,458,2016
15,Annelida,Polychaeta,Eunoenodosa,0,0,0,0,0,100,2016
17,Annelida,Polychaeta,Harmothoeimbricata,0,0,0,0,133,108,2016
18,Annelida,Polychaeta,Heteromastusfiliformis,925,367,641,134,267,366,2016
19,Annelida,Polychaeta,Lanassavenusta,0,0,33,0,0,0,2016
21,Annelida,Polychaeta,Levinseniagracilis,0,33,0,0,0,33,2016
22,Annelida,Polychaeta,Lumbrinerissp,0,0,33,0,0,0,2016
24,Annelida,Polychaeta,Mediomastusfragilis,0,0,0,233,33,67,2016
25,Annelida,Polychaeta,Microphthalmusaberrans,33,66,0,66,0,300,2016
26,Annelida,Polychaeta,Nephthyssp,0,0,0,16,0,17,2016
27,Annelida,Polychaeta,Ophelinaacuminata,1218,2408,891,3474,1457,1700,2016
29,Annelida,Polychaeta,Paraonidae,33,0,0,0,0,8,2016
30,Annelida,Polychaeta,Lagiskoreni,0,0,41,0,0,0,2016
31,Annelida,Polychaeta,Pholoeminuta,0,0,67,0,0,0,2016
32,Annelida,Polychaeta,Phyllodocemaculata,0,0,0,0,67,100,2016
34,Annelida,Polychaeta,Polydorasp,666,41,1025,100,608,2743,2016
36,Annelida,Polychaeta,Praxillellapraetermissa,408,241,367,0,133,74,2016
38,Annelida,Polychaeta,Sabellida,0,33,33,0,0,0,2016
39,Annelida,Polychaeta,Scalibregmainflatum,483,341,83,233,174,274,2016
40,Annelida,Polychaeta,Scoloplosarmiger,400,0,166,1175,307,375,2016
41,Annelida,Polychaeta,Sphaerodoropsisminuta,0,0,33,0,0,0,2016
42,Annelida,Polychaeta,Sphaerosylliserinaceus,0,0,0,0,0,8,2016
43,Annelida,Polychaeta,Spiosp,83,308,240,575,2759,3382,2016
45,Annelida,Polychaeta,Sylliscornuta,33,0,0,0,33,0,2016
46,Annelida,Polychaeta,Terebellidesstroemii,0,0,8,33,33,141,2016
49,Arthropoda,Malacostraca,Crassicorophiumbonellii,66,0,0,0,167,67,2016
50,Arthropoda,Malacostraca,Cumacea,0,0,0,0,0,66,2016
51,Arthropoda,Malacostraca,Protomedeiafasciata,0,0,0,0,33,0,2016
52,Arthropoda,Ostracoda,Ostracoda,0,0,133,0,0,0,2016
53,Arthropoda,Thecostraca,Balanussp,0,0,0,0,0,8,2016
54,Echinodermata,Ophiuroidea,Ophiuroidea,0,0,0,0,0,33,2016
55,Mollusca,Bivalvia,Abranitida,0,0,333,0,33,41,2016
56,Mollusca,Bivalvia,Abraprismatica,0,0,0,33,0,0,2016
57,Mollusca,Bivalvia,Acanthocardiatuberculata,0,0,0,0,0,33,2016
58,Mollusca,Bivalvia,Arcticaislandica,100,33,401,8,33,67,2016
61,Mollusca,Bivalvia,Ennuculatenuis,0,266,200,0,0,0,2016
62,Mollusca,Bivalvia,Hiatellaarctica,0,0,0,0,33,33,2016
63,Mollusca,Bivalvia,Kurtiellabidentata,0,0,0,100,0,0,2016
64,Mollusca,Bivalvia,Macomacalcarea,341,584,1133,1367,533,651,2016
65,Mollusca,Bivalvia,Myaarenaria,291,33,667,0,0,0,2016
66,Mollusca,Bivalvia,Mytilusedulis,0,0,0,67,0,0,2016
67,Mollusca,Bivalvia,Nuculanaminuta,0,0,33,100,66,0,2016
68,Mollusca,Bivalvia,Nuculanapernula,0,100,333,66,0,0,2016
69,Mollusca,Bivalvia,Parvicardiumminimum,0,0,133,0,0,0,2016
70,Mollusca,Bivalvia,Serripesgroenlandicus,41,0,33,0,0,0,2016
71,Platyhelminthes,Playtyhelminthes,Platyhelminthes,0,0,0,33,0,0,2016
72,Priapulida,Priapulida,Priapuluscaudatus,0,0,74,108,0,0,2016
1,Annelida,Sipuncula,Sipuncula,0,67,0,0,0,0,2017
4,Annelida,Clitellata,Tubificoidesbenedii,0,100,0,67,0,0,2017
5,Annelida,Clitellata,Tubificoideskozloffi,0,33,0,33,0,0,2017
6,Annelida,Polychaeta,Ampharetidae,0,0,33,0,33,66,2017
7,Annelida,Polychaeta,Amphitritecirrata,0,0,0,0,8,0,2017
8,Annelida,Polychaeta,Apistobranchustullbergi,0,0,33,0,66,0,2017
9,Annelida,Polychaeta,Arenicolamarina,0,0,0,33,0,0,2017
10,Annelida,Polychaeta,Aricideasuecica,100,167,0,33,33,99,2017
11,Annelida,Polychaeta,Chaetozonesetosa,233,200,167,800,199,66,2017
12,Annelida,Polychaeta,Cirratuluscirratus,0,0,0,0,33,0,2017
13,Annelida,Polychaeta,Cossuralongocirrata,33,134,100,0,33,0,2017
14,Annelida,Polychaeta,Cossurapygodactylata,0,67,0,0,0,200,2017
15,Annelida,Polychaeta,Eteonelonga,67,100,0,200,74,275,2017
16,Annelida,Polychaeta,Euchonesp,0,0,0,0,33,0,2017
17,Annelida,Polychaeta,Flabelligeraaffinis,0,0,0,0,33,0,2017
18,Annelida,Polychaeta,Galathoweniaoculata,0,0,0,0,0,33,2017
19,Annelida,Polychaeta,Harmothoeextenuata,66,0,0,33,218,133,2017
20,Annelida,Polychaeta,Heteromastusfiliformis,0,0,0,0,66,0,2017
21,Annelida,Polychaeta,Lanassavenusta,0,67,0,0,166,33,2017
23,Annelida,Polychaeta,Mediomastusfragilis,266,533,534,434,300,666,2017
24,Annelida,Polychaeta,Microphthalmusaberrans,133,33,33,166,,167,2017
25,Annelida,Polychaeta,Nephthyssp,0,8,0,16,33,16,2017
26,Annelida,Polychaeta,Nicoleazostericola,0,0,0,0,33,0,2017
27,Annelida,Polychaeta,Notomastuslatericeus,0,33,0,0,0,0,2017
28,Annelida,Polychaeta,Ophelinaacuminata,108,408,276,1600,33,733,2017
29,Annelida,Polychaeta,Cystenidesgranulata,0,0,0,0,41,0,2017
30,Annelida,Polychaeta,Lagiskoreni,0,66,0,82,0,0,2017
31,Annelida,Polychaeta,Pherusaplumosa,0,0,0,0,33,0,2017
32,Annelida,Polychaeta,Pholoeminuta,0,0,0,0,0,33,2017
33,Annelida,Polychaeta,Phyllodocemaculata,0,0,0,0,0,416,2017
34,Annelida,Polychaeta,Polydorasp,33,67,166,108,566,10950,2017
35,Annelida,Polychaeta,Praxillellapraetermissa,259,283,225,0,367,382,2017
36,Annelida,Polychaeta,Sabellida,0,0,0,0,33,0,2017
37,Annelida,Polychaeta,Scalibregmainflatum,1467,125,2174,300,233,100,2017
38,Annelida,Polychaeta,Scoloplosarmiger,400,651,333,708,574,833,2017
39,Annelida,Polychaeta,Sphaerosylliserinaceus,0,0,0,0,67,67,2017
41,Annelida,Polychaeta,Spiosp,66,41,0,100,133,774,2017
42,Annelida,Polychaeta,Sylliscornuta,0,0,0,33,0,0,2017
44,Annelida,Polychaeta,Terebellidesstroemii,8,0,0,0,41,0,2017
46,Arthropoda,Malacostraca,Caprellaseptentrionalis,0,0,0,0,33,0,2017
47,Arthropoda,Malacostraca,Crassicorophiumbonellii,66,0,33,0,266,834,2017
48,Arthropoda,Malacostraca,Cumacea,0,0,0,0,0,33,2017
49,Arthropoda,Malacostraca,Dexaminethea,0,0,0,0,33,0,2017
50,Arthropoda,Malacostraca,Protomedeiafasciata,0,0,0,33,33,933,2017
51,Arthropoda,Pycnogonida,Pycnogonida,0,33,0,0,0,0,2017
52,Arthropoda,Thecostraca,Balanussp,0,0,0,0,0,1533,2017
53,Echinodermata,Asteroidea,Asteroidea,0,0,0,0,0,33,2017
54,Mollusca,Bivalvia,Abranitida,267,600,567,267,0,333,2017
55,Mollusca,Bivalvia,Acanthocardiaechinata,0,8,0,0,0,0,2017
56,Mollusca,Bivalvia,Arcticaislandica,33,33,167,0,33,200,2017
57,Mollusca,Bivalvia,Ennuculatenuis,0,33,0,33,33,0,2017
58,Mollusca,Bivalvia,Hiatellaarctica,0,0,0,0,41,133,2017
59,Mollusca,Bivalvia,Macomacalcarea,191,1009,1034,1117,275,592,2017
60,Mollusca,Bivalvia,Musculussp,0,0,0,0,33,0,2017
61,Mollusca,Bivalvia,Myaarenaria,0,0,166,33,67,475,2017
62,Mollusca,Bivalvia,Mytilusedulis,0,0,67,0,0,0,2017
63,Mollusca,Bivalvia,Parvicardiumpinnulatum,0,0,0,0,0,133,2017
64,Mollusca,Bivalvia,Serripesgroenlandicus,0,33,0,0,0,0,2017
65,Mollusca,Bivalvia,Thyasiraflexuosa,33,166,0,0,67,67,2017
66,Mollusca,Gastropoda,Buccinumundatum,0,0,0,0,8,8,2017
67,Mollusca,Gastropoda,Gibbulatumida,0,0,0,0,8,0,2017
68,Mollusca,Gastropoda,Margaritesgroenlandicus,0,0,0,0,33,0,2017
69,Mollusca,Gastropoda,Naticidae,0,0,0,0,0,33,2017
70,Mollusca,Gastropoda,Nudibranchia,0,0,0,0,67,0,2017
71,Mollusca,Gastropoda,Onobaaculeus,33,0,0,0,0,0,2017
72,Mollusca,Gastropoda,Onobastriata,0,0,0,0,33,0,2017
73,Mollusca,Gastropoda,Retusapertenuis,0,0,33,0,0,0,2017
74,Platyhelminthes,Turbellaria,Platyhelminthes,0,0,0,0,0,33,2017
75,Priapulida,Priaupulida,Priapuluscaudatus,33,33,33,100,0,33,2017
