Flokkun,A7A,A7A*1/4,A7B,A7B*1/4,A7C ,A7C*1/4,B0A,B0A*1/4,B0B,B0B*1/4,B0C,B0C*1/4,B5A,B5A*1/4,B5B,B5B*1/4,B5C,B5C*1/4,B8A,B8A*1/4,B8B,B8B,B8B*1/4,B8C,B8C*1/4,C4A,C4A*1/4,C4B,C4B*1/4,C4C,C4C*1/4,E3A,E3A*1/4,E3B,E3B*1/4,E3C,E3C*1/4,E4A,E4A*1/4,E4B,E4B*1/4,E4C,E4C*1/4
Philomedes globosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pholoe sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyllodoce maculata,,,,,,,1,,,1,4,,3,,,,1,,,,,,,,,,,4,,,1,,2,1,1,,,,,,,,1
Phyllodocidae sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plergonium spinosum,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polycirrinae sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polydora sp.,,,,,,,,,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,1,,4,,,5,,,
Polynoida ungv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polyplacophora sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porifera sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Praxillella m.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Praxillella praetermissa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
Priapulus camelus,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
Priapulus candatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Protomedeia fasciata,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,2,,1,,1,1,,,,,2
Pycnogonida sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhodine gracilior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabellida sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Scoloplos armiger,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,2,,,,1,,1,2,,2,,,1
Sipunculidea,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Sphaerosyllis erinaceus,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,
Sphaerosyllis ungv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spionidae sp.,,2,,,,,4,,,6,3,,24,,10,,3,,,,,,,,1,3,,4,,,12,,12,,16,,19,12,,17,,,2
Sternapsis/Sternaspis? scutata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syllidae sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Syllis cornuta,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,1,,,
Terebellidae sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Tubificoides benedi,,,,,,,4,,,,15,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Tubificoides kozloffi,,,,,,,,,,4,1,,,,1,,,,,,,,,,,,,1,,,3,,12,,28,,3,1,,2,,,1
Tubificidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,25,44,,56,,,29
Turbellaria,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,
Typosyllis armillaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verruca stroemia,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
