Flokkun,A7A,A7A*1/4,A7B,A7B*1/4,A7C,A7C*1/4,B5A,B5A*1/4,B5B,B5B*1/4,B5C,B5C*1/4,B8A,B8A*1/4,B8B,B8B*1/4,B8C,B8C*1/4,C4A,C4A*1/4,C4B,C4B*1/4,C4C,C4C*1/4,E3A,E3A*1/4,E3B,E3B*1/4,E3C,E3C*1/4,E4A,E4A,E4B,E4B*1/4,E4C,E4C*1/4
Gibbula tumida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glycera capitata,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Harmothoe sp,,,,,,,,,,,,,,,,,,,,1,,,,,,3,1,3,,6,,1,,1,,1
Harpacticoida sp.,,3,,1,,,,,,,,6,,8,,1,,2,,6,,,,,,1,,,,,,1,,,,
Henricia sanguinolenta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heteromastus filiformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,
Hiatella arctica,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,3,,,,,,
Hyas araneus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrozoa,,,,2,,6,,,,1,,1,,1,,5,,6,,,,,,,,,,,,,,,,,,
Lacuna vincta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanassa venusta,,,,,,,,5,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
Lepeta caeca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidonotus squamatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levinsenia gracilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macoma calcarea,,5,,5,,1,,10,,12,,11,,2,,5,,8,,15,,13,2,8,,9,,3,,10,,1,,6,,10
Malacoceros fuliginosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maldanidae sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
Margarites groenlandicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mediomastus filiformis kemur líka Heteromastus filiformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mediomastus fragilis,,1,,6,,2,,8,,4,,7,1,4,,5,,6,1,3,,5,,8,,3,,,,1,,6,,6,1,10
Microphthalmus aberrans,,2,,,,1,,,,,,5,,,,,,,1,5,,1,,,,,,2,,3,,1,,,,2
Moelleria costulata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Musculus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Mya sp.,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Mya juv,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,
Mya arenaria,,1,,3,,,,1,,1,,,,1,,1,,,,,,3,,1,,3,,1,,,,,,3,,
Mya truncata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myriochele oculata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mytilidae,,,,,,,,,,,,7,,,,,,,,,,4,,,,,,,,,,,,,,
Mytilidae juv,,2,,2,,,,3,,3,,,,3,,4,,1,,5,,,,3,,3,,,,,,,,,,
Mytilus edulis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
Möttuldýr TUNICATA EÐA FLEIRI?,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,9,1,,,,,,
Naticidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naineris quadricuspida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nemertea=nemertina,,3,,5,,9,,2,,11,,,1,3,,3,,17,,,,,,1,,,,,,4,,1,,,,
Nematoda,,,,1,,2,,,,,,4,,,,1,,,,12,,,,8,,2,,,,,,3,,,,
Nephtyidae sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepthys,,,1,,,,,,,,,,,,,,,,1,,,,,,3,,1,,1,,,,1,,1,
Nereimyra punctata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Nereis pelagica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notomastus latericeus ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolea zostericola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuculana tenuis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nudibranch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oligochaeta sp.,,,,,,,,,,,,,,,,,,,,3,,2,,1,,5,,1,,6,,,,12,,
Onoba aculeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onoba striata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ophelina acuminata,,2,,,,,1,17,1,1,4,10,,2,,2,1,,8,10,1,7,2,11,10,4,15,6,7,9,2,,,2,4,9
Ophiuroidea sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opistobranchia sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ophryotrocha cosmetandra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orbiniidae sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ostracoda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parougia nigridentata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Pectinaria granulata,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,
Pectinaria koreni,,,,1,,,1,,,,1,,,,2,,,,1,,1,,2,,,,,1,,,,,,,,
Pherusa plumosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philomedes globosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pholoe sp,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2
Phyllodoce maculata,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,
Phyllodocidae sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plerugonium spinosissum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polycirrinae sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polydora sp.,3,2,3,,4,1,,,2,2,1,3,1,,5,2,3,,,,,,,2,,2,1,4,4,1,2,4,2,7,,16
Polynoida ungv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polyplacophora sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porifera sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Praxillella m.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Praxillella praetermissa,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
Priapulus camelus ER HANN NOKKUÐ TIL?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Priapulus candatus,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Protomedeia fasciata,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,4,,,,,,1
Pycnogonida sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pygospio elegans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhodine gracilior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabellida sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scalibregma inflatum,,1,1,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,
Scoloplos armiger,,,,,,1,1,3,,2,1,2,1,1,,4,,,1,5,,3,3,16,,1,1,,3,4,,,,,,
Serripes groenlandica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Sipunculida,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,
Sphaerosyllis erinaceus,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,1,,,,,,
Sphaerosyllis ungv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spionidae sp.,,1,1,,,,,2,,3,,4,,1,,3,,,,7,,8,1,7,,8,,5,3,8,,,1,2,,11
Sternapsis/Sternaspis? scutata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syllidae sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Syllis cornuta,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Thyasira flexuosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terebellidae sp,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,1
Terebellidae juv,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Tubificoides benedict,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,
Tubificoides kozloffi,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,1,,
Terribellides stroemi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tubificidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turbellaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Typosyllis armillaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verruca stroemia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
