Flokkun,A7A,A7A*1/4,A7B,A7B*1/4,A7C,A7C*1/4,B5A,B5A*1/4,B5B,B5B*1/4,B5C,B5C*1/4,B8A,B8A*1/4,B8B,B8B*1/4,B8C,B8C*1/4,C4A,C4A*1/4,C4B,C4B*1/4,C4C,C4C*1/4,E3A,E3A*1/4,E3B,E3B*1/4,E3C,E3C*1/4,E4A,E4A*1/4,E4B,E4B*1/4,E4C,E4C*1/4
Aricidea suecica,,,,1,,2,,1,,2,,2,,,,,,,,1,,,,,,,,,,1,,1,,1,,1
Ascidiacea sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astarte borealis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteroidea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Axionice maculata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
Balanus nýsestir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,
Bivalvia sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brada inhabilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brada villosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryozoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccinum undatum,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,
Cardidae juv,,,,,,2,,1,,1,,1,,,,3,,,,,,,,,,,,,,,,,,,,1
Campanulariidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capitella capitata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caprellidae,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Cerastoderma ovale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
Chaetozone setosa,,,,,,7,,3,,1,,2,,2,,1,,2,,7,,3,,14,,1,,4,,1,,1,,1,,
Cirratulus cirratus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Clinocardium cillaturn skilaði engum niðurstöðum. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collembola STÖKKMOR Í SJÓ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corophium bonnellii,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,7,,1,,14,,6,,5
Cossura longocirrata,,,,,,1,,2,,,,2,,2,,,,1,,,,,,,,,,1,,,,,,,,
Cossura pygodactylata,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,6,,,,
Crenella sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumacea sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Cycloterus lumpus,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Dodecaceria concharum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dexamine thea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Ennucula tenuis,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,
Eteone longa ,,,,,,2,,2,,1,,,,,,,,,,3,,3,,,,,1,1,,1,,3,1,3,,2
Eteone suecica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euchone sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Eunoe nodosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eupolymnia nesidensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exogone hebes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exogone ver(r)ugera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flabelligera affinis,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Galathowenia oculata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Gammarus sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastropoda ungv,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,
Gattyana cirrosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibbula tumida,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Glycera capitata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harmothoe sp,,,,1,,1,,,,,,,,,,,,,,1,,,,,2,2,,2,,2,,1,,3,,
Harpacticoida sp.,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,4
Henricia sanguinolenta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heteromastus filiformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Hiatella arctica,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,1,,2
Hyas araneus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrozoa,,,,4,,1,,1,,,,,,1,,3,,5,,,,,,,,,,,,,,,,,,1
Lacuna vincta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanassa venusta,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,4,,1,,,,
Lepeta caeca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidonotus squamatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levinsenia gracilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macoma calcarea,,,1,4,2,1,11,4,6,14,24,2,,14,,5,,12,2,10,,12,,11,1,5,,2,,1,2,7,1,5,,5
Malacoceros fuliginosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maldanidae sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Margarites groenlandicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Mediomastus filiformis kemur líka Heteromastus filiformis,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Mediomastus fragilis,,,,4,,4,,3,,4,,9,,5,,6,,5,,5,,5,,3,,3,,2,,4,,10,,6,,4
Microphthalmus aberrans,,,,,,4,,1,,,,,,1,,,,,,1,,3,,1,,,,,,,,2,,3,,
Moelleria costulata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Musculus,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Mya sp.,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
Mya juv,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,1,,,,,,
Mya arenaria,,,,,,,,,,,,,,1,,,,,,1,,,,,,2,,,,,,2,1,7,,5
Mya truncata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myriochele oculata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mytilidae,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
Mytilidae juv,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,1
Mytilus edulis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Möttuldýr TUNICATA EÐA FLEIRI?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naticidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Naineris quadricuspida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nemertea=nemertina,,,,1,,1,,,,,,,,,,1,,,,2,,,,,,,,2,,1,,1,,,,2
Nematoda,,,,,,,,2,,,,3,,,,,,,,8,,14,,12,,,,,,,,,,,,2
Nephtyidae sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepthys,,,,,,,,,,,1,,,,,,,,1,,,,1,,2,,1,,1,,1,,1,,,
Nereimyra punctata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nereis pelagica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notomastus latericeus ,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolea zostericola,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Nuculana tenuis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Nudibranch,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Oligochaeta sp.,,,,,,,,,,,,,,,,,,,,6,,,,1,,,,3,,4,,26,,,,
Onoba aculeus,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onoba striata,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Ophelina acuminata,,,1,1,,2,1,4,,3,,5,,2,2,,3,5,,21,,20,,7,,,,1,,,,7,,9,,6
Ophiuroidea sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opistobranchia sp.,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Ophryotrocha cosmetandra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orbiniidae sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ostracoda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parougia nigridentata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pectinaria granulata,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,1,1,,,,,,
Pectinaria koreni,,,,,,,,1,,,,1,,,,,,,1,,1,1,,1,,,,,,,,,,,,
Pherusa plumosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Philomedes globosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pholoe sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Phyllodoce maculata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,2,1,4
Phyllodocidae sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plerugonium spinosissum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Polycirrinae sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polydora sp.,,,,1,,,,,,2,,,,4,,,,1,,2,1,1,,,2,,1,9,1,7,6,53,2,250,6,22
Polynoida ungv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polyplacophora sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porifera sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Praxillella m.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Praxillella praetermissa,,,3,5,,2,4,1,2,3,,3,1,2,4,2,2,1,,,,,,,,2,,,,9,1,7,,3,,1
Priapulus camelus ER HANN NOKKUÐ TIL?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Priapulus candatus,,,,,,1,,1,,,,,,1,,,,,,,,2,,1,,,,,,,,,,1,,
Protomedeia fasciata,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,10,,6,,12
Pycnogonida sp,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Pygospio elegans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Rhodine gracilior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabellida sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Scalibregma inflatum,,,3,26,5,16,,3,3,,,,1,31,6,15,6,16,,3,4,3,,2,,,,3,,4,1,,3,,,2
Scoloplos armiger,,,,6,,6,,5,2,2,,12,,4,,3,,3,,9,1,7,,5,1,3,,7,,7,,15,,6,,4
Serripes groenlandica,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Sipunculidea/Sipunculidae,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Sphaerosyllis erinaceus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,, ,
Sphaerosyllis ungv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spionidae sp.,,,,1,,1,,,1,,,1,,,,,,,,2,,,,1,,,,3,,1,,10,1,7,,3
Sternapsis/Sternaspis? scutata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syllidae sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syllis cornuta,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Thyasira flexuosa,,,,1,,,,4,,1,,,,,,,,,,,,,,,,,,2,,,,,,2,,
Terebellidae sp,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Terebellidae juv,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Terebellides benedi,,,,,,,,2,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,
Terribellides kozloffi,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,
Terribellides stroemi,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Tubificidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Turbellaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Typosyllis armillaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verruca stroemia,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
