"species","A7_1999","B5_1999","B8_1999","C4_1999","E3_1999","E4_1999","A7_2013","B5_2013","B8_2013","C4_2013","E3_2013","E4_2013","A7_2014","B5_2014","B8_2014","C4_2014","E3_2014","E4_2014","A7_2015","B5_2015","B8_2015","C4_2015","E3_2015","E4_2015","A7_2016","B5_2016","B8_2016","C4_2016","E3_2016","E4_2016","A7_2017","B5_2017","B8_2017","C4_2017","E3_2017","E4_2017"
"Lanassa venusta","3","4","2","1","6","","","","","","","","","1","","","12","","","20","","","2","","","","4","","","","","8","","","20","4"
"Laphania boecki","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Leda pernula","","","3","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Levinsenia gracilis","","","","","56","2","","","","","1","","","","","","","","","","","","","","","4","","","","4","","","","","",""
"Lumbrineris","","","1","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","",""
"Macoma calcarea","","10","3","7","24","7","","","","","","","","1","","26","24","","44","132","60","146","88","65","41","70","136","164","64","78","23","121","124","134","33","71"
"Malacoceros fuliginosus","","","","","","","","","","","","","4","58","","","","14","","","","","","","","","","","","","","","","","",""
"Margarites groenlandicus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4",""
"Mediomastus filiformis kemur líka heteromastus filiformis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4",""
"Mediomastus fragilis","","","","","","","","","","8","","1","","","","2","48","6","36","76","61","65","16","71","","","","28","4","8","32","64","64","52","36","80"
"Microphthalmus aberrans","","8","","","","","","3","8","65","23","","4","3","12","26","108","61","12","20","","25","20","9","4","8","","8","","36","16","4","4","20","","20"
"Munna","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Musculus","","","","4","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","4",""
"Mya arenaria","","","","","","","","","","","","","","","","","49","3","16","8","16","16","16","12","35","4","80","","","","","","20","4","8","57"
"Mya truncata","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","",""
"Myriochele oculata","","4","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mytilidae","","","","","","","","","","","","","","","1","16","69","","","","","","","","","","","8","","","","","8","","",""
"Mytilus edulis","","20","3","28","8","","","","","","","","","","","","","","","28","","16","4","","","","","","","","","","","","",""
"Naineris quadricuspida","","","","","","","","","","","","","","","","","12","3","","","","","","","","","","","","","","","","","",""
"Naticidae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4"
"Nephthys","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","",""
"Nephtyidae","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","",""
"Nephtys","","","","","","","","","","","","","","","","","","","1","","","1","5","2","","","","1","","2","","1","","2","4","2"
"Nereimyra punctata","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","",""
"Nereis pelagica","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","",""
"Nicolea zostericola","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4",""
"Notomastus latericeus ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","",""
"Nuculana minuta","","","","","","","","","","","","","","","","","","","","","","","","","","","4","12","8","","","","","","",""
"Nuculana pernula","","","","","","","","","","","","","","","","","","","","","","","","","","12","40","8","","","","","","","",""
"Nudibranchia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8",""
"Oligochaeta","","","1","","179","27","","","","18","46","107","","","","","","","","","","24","48","48","","8","5","86","37","115","","","","28","28","104"
"Onoba aculeus","","","","4","","","","","","","","","","","","","8","","","","","","","","","","","","","","4","","","","",""
"Onoba striata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4",""
"Ophelina acuminata","2","","6","17","","","","","","","","","","","","1","1","","8","118","17","123","108","50","146","289","107","417","175","204","13","49","33","192","4","88"
"Ophiuroidea","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","4","","","","","",""
"Paroediceros lynceus","","","","3","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Parougia nigridentata","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","",""
"Parvicardium minimum","","","","","","","","","","","","","","","","","","","","","","","","","","","16","","","","","","","","",""
"Parvicardium pinnulatum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16"
"Pectinaria granulata","1","12","2","8","","1","","","","","","","","","","","1","","","","","","4","","","","","","","","","","","","5",""
"Pectinaria koreni","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","",""
"Pherusa plumosa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4",""
"Philomedes globosus","","","","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pholoe minuta","","4","","1","","1","","","","","","","","","","","","","","","","4","","8","","","8","","","","","","","","","4"
"Phyllodoce maculata","","","","","2","","","","","","","","","4","","8","13","4","","","","","16","","","","","","8","12","","","","","","50"
"Platyhelminthes","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","",""
"Pleurogonium spinosissimum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4"
"Polydora","","","","","225","37","","","","","","","","2","","","20","5","22","23","17","8","33","100","80","5","123","12","73","329","4","8","20","13","68","1314"
"Polyplacophora","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","",""
"Praxillella","2","4","3","","21","5","","","","","6","","","","","","3","","","1","","","","7","49","29","44","","16","9","31","34","27","","44","46"
"Praxillella praetermissa","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","",""
"Priapulus caudatus","","4","","","1","","","","","","","","","2","","","1","1","","4","","","","","","","9","13","","","4","4","4","12","","4"
"Protomedeia fasciata","7","","21","5","1","","","","","","","","","7","","","20","9","","","","","32","4","","","","","4","","","","","4","4","112"
"Pseudopotamilla reniformis","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pycnogonida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","",""
"Retusa pertenuis","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","",""
"Sabellida","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","4",""
"Sabellidae","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","","","","","","","","",""
"Scalibregma inflatum","2","50","19","7","","1","","","","","","","","","","","","","5","2","","1","","1","58","41","10","28","21","33","176","15","261","36","28","12"
"Schistomeringos nigridentata","2","16","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Scoloplos armiger","2","9","4","6","8","3","","","","3","","","","1","","10","8","8","4","30","21","100","24","","48","","20","141","37","45","48","78","40","85","69","100"
"Serripes groenlandicus","","","","","","","","","","","","","","","","","","","","","","","4","","5","","4","","","","","4","","","",""
"Sphaerodoridae","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sphaerodoropsis minuta","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","",""
"Sphaerosyllis erinaceus","","","","","","","","","","","","","","1","","","8","","4","","","","16","","","","","","","1","","","","","8","8"
"Spio","1","1","1","6","84","4","","3","","259","101","1","8","37","4","55","188","37","5","36","16","89","87","53","4","24","","","6","4","8","5","","12","16","93"
"Spionida","","","","","","","","","","","","","","","","","","","","","","","","","4","","20","","","","","","","","",""
"Spionidae","","","","","","","","","","","","","","","","","","","","","","","","","2","13","9","69","325","402","","","","","",""
"Sternaspis scutata","1","10","3","","26","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Syllis cornuta","","","","","7","","","","","","","","","","","6","1","1","","","","4","4","","4","","","","4","","","","","4","",""
"Syllis gracilis","","","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Terebellides stroemii","1","25","3","","16","3","","","","","","","","","","","","1","","","4","","4","8","","","1","4","4","17","1","","","","5",""
"Thracia villosiuscula","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Thyasira flexuosa","","4","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","4","20","","","8","8"
"Tubificidae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4",""
"Tubificoides benedii","","","","2","","","","","","8","","","","","","1","","","","","","12","","","","","","","","","","12","","8","",""
"Tubificoides kozloffi","","","","","","","","9","","9","16","","","1","","13","324","223","","","","12","","4","","","","","","1","","4","","4","",""
"Turbellaria","","","","","","","","","","","","","","","","","9","","","","","","","","","","","","","","","","","","","4"
"Verruca stroemia","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","",""
"Yoldia hyperborea","","3","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
